d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
  67.763  20.0   8.222E-02  -1.354E-02   7.954E-01   8.194E-02   1.536E-02   7.871E-01   3.500E-01   7.896E-02   7.954E-01   7.871E-01
  92.163   1.0   7.884E-02  -1.560E-02   7.223E-01   7.838E-02   1.929E-02   6.666E-01   7.500E-01   9.295E-02   7.223E-01   6.666E-01
  92.163   3.0   7.931E-02  -1.522E-02   7.355E-01   7.912E-02   1.841E-02   7.249E-01   6.500E-01   9.085E-02   7.355E-01   7.249E-01
  92.163   5.0   7.951E-02  -1.472E-02   7.402E-01   7.941E-02   1.664E-02   6.878E-01   6.500E-01   8.949E-02   7.402E-01   6.878E-01
  92.163   7.0   7.971E-02  -1.440E-02   7.365E-01   7.962E-02   1.525E-02   6.498E-01   6.500E-01   8.848E-02   7.365E-01   6.498E-01
  92.163  10.0   7.998E-02  -1.403E-02   7.262E-01   7.978E-02   1.384E-02   6.055E-01   6.500E-01   8.742E-02   7.262E-01   6.055E-01
  92.163  15.0   8.050E-02  -1.385E-02   6.942E-01   7.953E-02   1.285E-02   5.363E-01   6.500E-01   8.637E-02   6.942E-01   5.363E-01
  92.163  20.0   8.090E-02  -1.373E-02   6.634E-01   7.935E-02   1.216E-02   4.844E-01   6.500E-01   8.564E-02   6.634E-01   4.844E-01
 125.563   1.0   7.709E-02  -1.502E-02   7.436E-01   7.663E-02   2.426E-02   7.294E-01   1.000E+00   0.000E+00   7.436E-01   7.294E-01
 125.563   3.0   7.756E-02  -1.482E-02   7.542E-01   7.730E-02   2.141E-02   6.832E-01   1.000E+00   0.000E+00   7.542E-01   6.832E-01
 125.563   5.0   7.781E-02  -1.451E-02   7.566E-01   7.771E-02   1.951E-02   6.427E-01   1.000E+00   0.000E+00   7.566E-01   6.427E-01
 125.563   7.0   7.789E-02  -1.420E-02   7.635E-01   7.796E-02   1.817E-02   6.027E-01   1.000E+00   0.000E+00   7.635E-01   6.027E-01
 125.563  10.0   7.792E-02  -1.380E-02   7.790E-01   7.841E-02   1.663E-02   5.753E-01   1.000E+00   0.000E+00   7.790E-01   5.753E-01
 125.563  15.0   7.793E-02  -1.336E-02   8.079E-01   7.951E-02   1.428E-02   5.710E-01   1.000E+00   0.000E+00   8.079E-01   5.710E-01
