d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
 483.563  20.0   6.564E-02  -3.870E-02   5.564E-01   6.804E-02   2.909E-01   4.765E+00   1.000E+00   0.000E+00   5.564E-01   4.765E+00
 631.563   1.0   6.124E-02  -3.377E-02   8.329E-01   7.553E-02   2.311E-01   4.655E+00   1.000E+00   0.000E+00   8.329E-01   4.655E+00
 631.563   3.0   6.065E-02  -3.322E-02   8.149E-01   7.454E-02   2.441E-01   4.765E+00   1.000E+00   0.000E+00   8.149E-01   4.765E+00
 631.563   5.0   5.815E-02  -3.058E-02   8.898E-01   7.401E-02   2.473E-01   4.721E+00   1.000E+00   0.000E+00   8.898E-01   4.721E+00
 631.563   7.0   5.787E-02  -3.037E-02   8.491E-01   7.294E-02   2.616E-01   4.837E+00   1.000E+00   0.000E+00   8.491E-01   4.837E+00
 631.563  10.0   5.752E-02  -3.147E-02   8.233E-01   7.194E-02   2.967E-01   5.311E+00   1.000E+00   0.000E+00   8.233E-01   5.311E+00
 631.563  15.0   5.650E-02  -3.039E-02   8.122E-01   7.043E-02   2.913E-01   4.939E+00   1.000E+00   0.000E+00   8.122E-01   4.939E+00
 631.563  20.0   6.564E-02  -3.870E-02   5.564E-01   6.804E-02   2.909E-01   4.765E+00   1.000E+00   0.000E+00   5.564E-01   4.765E+00
 774.683   1.0   6.124E-02  -3.377E-02   8.329E-01   7.553E-02   2.311E-01   4.655E+00   1.000E+00   0.000E+00   8.329E-01   4.655E+00
 774.683   3.0   6.065E-02  -3.322E-02   8.149E-01   7.454E-02   2.441E-01   4.765E+00   1.000E+00   0.000E+00   8.149E-01   4.765E+00
 774.683   5.0   5.815E-02  -3.058E-02   8.898E-01   7.401E-02   2.473E-01   4.721E+00   1.000E+00   0.000E+00   8.898E-01   4.721E+00
 774.683   7.0   5.787E-02  -3.037E-02   8.491E-01   7.294E-02   2.616E-01   4.837E+00   1.000E+00   0.000E+00   8.491E-01   4.837E+00
 774.683  10.0   5.752E-02  -3.147E-02   8.233E-01   7.194E-02   2.967E-01   5.311E+00   1.000E+00   0.000E+00   8.233E-01   5.311E+00
 774.683  15.0   5.650E-02  -3.039E-02   8.122E-01   7.043E-02   2.913E-01   4.939E+00   1.000E+00   0.000E+00   8.122E-01   4.939E+00
 774.683  20.0   6.564E-02  -3.870E-02   5.564E-01   6.804E-02   2.909E-01   4.765E+00   1.000E+00   0.000E+00   5.564E-01   4.765E+00
 897.803   1.0   6.124E-02  -3.377E-02   8.329E-01   7.553E-02   2.311E-01   4.655E+00   1.000E+00   0.000E+00   8.329E-01   4.655E+00
 897.803   3.0   6.065E-02  -3.322E-02   8.149E-01   7.454E-02   2.441E-01   4.765E+00   1.000E+00   0.000E+00   8.149E-01   4.765E+00
 897.803   5.0   5.815E-02  -3.058E-02   8.898E-01   7.401E-02   2.473E-01   4.721E+00   1.000E+00   0.000E+00   8.898E-01   4.721E+00
 897.803   7.0   5.787E-02  -3.037E-02   8.491E-01   7.294E-02   2.616E-01   4.837E+00   1.000E+00   0.000E+00   8.491E-01   4.837E+00
 897.803  10.0   5.752E-02  -3.147E-02   8.233E-01   7.194E-02   2.967E-01   5.311E+00   1.000E+00   0.000E+00   8.233E-01   5.311E+00
 897.803  15.0   5.650E-02  -3.039E-02   8.122E-01   7.043E-02   2.913E-01   4.939E+00   1.000E+00   0.000E+00   8.122E-01   4.939E+00
 897.803  20.0   6.564E-02  -3.870E-02   5.564E-01   6.804E-02   2.909E-01   4.765E+00   1.000E+00   0.000E+00   5.564E-01   4.765E+00
1036.361   1.0   6.124E-02  -3.377E-02   8.329E-01   7.553E-02   2.311E-01   4.655E+00   1.000E+00   0.000E+00   8.329E-01   4.655E+00
1036.361   3.0   6.065E-02  -3.322E-02   8.149E-01   7.454E-02   2.441E-01   4.765E+00   1.000E+00   0.000E+00   8.149E-01   4.765E+00
1036.361   5.0   5.815E-02  -3.058E-02   8.898E-01   7.401E-02   2.473E-01   4.721E+00   1.000E+00   0.000E+00   8.898E-01   4.721E+00
1036.361   7.0   5.787E-02  -3.037E-02   8.491E-01   7.294E-02   2.616E-01   4.837E+00   1.000E+00   0.000E+00   8.491E-01   4.837E+00
1036.361  10.0   5.752E-02  -3.147E-02   8.233E-01   7.194E-02   2.967E-01   5.311E+00   1.000E+00   0.000E+00   8.233E-01   5.311E+00
1036.361  15.0   5.650E-02  -3.039E-02   8.122E-01   7.043E-02   2.913E-01   4.939E+00   1.000E+00   0.000E+00   8.122E-01   4.939E+00
1036.361  20.0   6.564E-02  -3.870E-02   5.564E-01   6.804E-02   2.909E-01   4.765E+00   1.000E+00   0.000E+00   5.564E-01   4.765E+00
