d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
 125.563  15.0   3.482E-02  -3.374E-02   5.780E-01   2.038E-02   2.198E-01   7.590E-01   1.000E+00   0.000E+00   5.780E-01   7.590E-01
 125.563  20.0   3.533E-02  -3.417E-02   5.885E-01   2.049E-02   2.138E-01   7.183E-01   1.000E+00   0.000E+00   5.885E-01   7.183E-01
 171.163   1.0   2.543E-02  -2.530E-02   6.102E-01   1.921E-02   3.205E-01   1.462E+00   1.000E+00   0.000E+00   6.102E-01   1.462E+00
 171.163   3.0   2.723E-02  -2.699E-02   6.149E-01   1.849E-02   2.983E-01   1.294E+00   1.000E+00   0.000E+00   6.149E-01   1.294E+00
 171.163   5.0   2.826E-02  -2.788E-02   6.185E-01   1.845E-02   2.855E-01   1.203E+00   1.000E+00   0.000E+00   6.185E-01   1.203E+00
 171.163   7.0   2.891E-02  -2.841E-02   6.202E-01   1.806E-02   2.776E-01   1.143E+00   1.000E+00   0.000E+00   6.202E-01   1.143E+00
 171.163  10.0   2.949E-02  -2.887E-02   6.206E-01   1.841E-02   2.700E-01   1.095E+00   1.000E+00   0.000E+00   6.206E-01   1.095E+00
 171.163  15.0   3.160E-02  -3.070E-02   5.701E-01   1.887E-02   2.622E-01   1.048E+00   1.000E+00   0.000E+00   5.701E-01   1.048E+00
 171.163  20.0   3.184E-02  -3.082E-02   5.749E-01   1.947E-02   2.558E-01   1.011E+00   1.000E+00   0.000E+00   5.749E-01   1.011E+00
 233.563   1.0   2.422E-02  -2.411E-02   6.092E-01   2.412E-02   3.590E-01   1.853E+00   1.000E+00   0.000E+00   6.092E-01   1.853E+00
 233.563   3.0   2.533E-02  -2.517E-02   6.117E-01   2.286E-02   3.424E-01   1.705E+00   1.000E+00   0.000E+00   6.117E-01   1.705E+00
 233.563   5.0   2.618E-02  -2.593E-02   6.155E-01   2.191E-02   3.306E-01   1.601E+00   1.000E+00   0.000E+00   6.155E-01   1.601E+00
 233.563   7.0   2.688E-02  -2.658E-02   6.157E-01   2.072E-02   3.232E-01   1.526E+00   1.000E+00   0.000E+00   6.157E-01   1.526E+00
 233.563  10.0   2.750E-02  -2.715E-02   6.172E-01   2.009E-02   3.164E-01   1.466E+00   1.000E+00   0.000E+00   6.172E-01   1.466E+00
 233.563  15.0   2.835E-02  -2.796E-02   6.165E-01   1.905E-02   3.096E-01   1.400E+00   1.000E+00   0.000E+00   6.165E-01   1.400E+00
 233.563  20.0   2.900E-02  -2.861E-02   6.180E-01   1.794E-02   3.044E-01   1.344E+00   1.000E+00   0.000E+00   6.180E-01   1.344E+00
 364.963   1.0   2.255E-02  -2.242E-02   6.044E-01   3.179E-02   4.203E-01   2.536E+00   1.000E+00   0.000E+00   6.044E-01   2.536E+00
 364.963   3.0   2.290E-02  -2.275E-02   6.037E-01   3.114E-02   4.124E-01   2.455E+00   1.000E+00   0.000E+00   6.037E-01   2.455E+00
 364.963   5.0   2.343E-02  -2.322E-02   6.052E-01   3.061E-02   4.022E-01   2.362E+00   1.000E+00   0.000E+00   6.052E-01   2.362E+00
 364.963   7.0   2.387E-02  -2.362E-02   6.057E-01   2.985E-02   3.949E-01   2.285E+00   1.000E+00   0.000E+00   6.057E-01   2.285E+00
 364.963  10.0   2.422E-02  -2.393E-02   6.115E-01   2.959E-02   3.872E-01   2.220E+00   1.000E+00   0.000E+00   6.115E-01   2.220E+00
 364.963  15.0   2.466E-02  -2.431E-02   6.205E-01   2.945E-02   3.781E-01   2.148E+00   1.000E+00   0.000E+00   6.205E-01   2.148E+00
 364.963  20.0   2.664E-02  -2.613E-02   5.658E-01   2.946E-02   3.698E-01   2.087E+00   1.000E+00   0.000E+00   5.658E-01   2.087E+00
 483.563   1.0   2.082E-02  -2.001E-02   5.334E-01   3.151E-02   4.715E-01   2.931E+00   1.000E+00   0.000E+00   5.334E-01   2.931E+00
 483.563   3.0   2.084E-02  -2.003E-02   5.353E-01   3.127E-02   4.688E-01   2.902E+00   1.000E+00   0.000E+00   5.353E-01   2.902E+00
 483.563   5.0   2.070E-02  -1.985E-02   5.490E-01   3.080E-02   4.618E-01   2.831E+00   1.000E+00   0.000E+00   5.490E-01   2.831E+00
 483.563   7.0   2.057E-02  -1.965E-02   5.581E-01   3.014E-02   4.565E-01   2.769E+00   1.000E+00   0.000E+00   5.581E-01   2.769E+00
 483.563  10.0   2.008E-02  -1.907E-02   5.817E-01   2.903E-02   4.510E-01   2.692E+00   1.000E+00   0.000E+00   5.817E-01   2.692E+00
 483.563  15.0   1.824E-02  -1.709E-02   6.586E-01   2.647E-02   4.472E-01   2.584E+00   1.000E+00   0.000E+00   6.586E-01   2.584E+00
 483.563  20.0   1.666E-02  -1.524E-02   7.167E-01   2.379E-02   4.443E-01   2.481E+00   1.000E+00   0.000E+00   7.167E-01   2.481E+00
 631.563   1.0   1.798E-02  -1.739E-02   6.488E-01   3.481E-02   5.267E-01   3.504E+00   1.000E+00   0.000E+00   6.488E-01   3.504E+00
 631.563   3.0   1.805E-02  -1.746E-02   6.411E-01   3.457E-02   5.280E-01   3.505E+00   1.000E+00   0.000E+00   6.411E-01   3.505E+00
 631.563   5.0   1.777E-02  -1.718E-02   6.536E-01   3.381E-02   5.257E-01   3.454E+00   1.000E+00   0.000E+00   6.536E-01   3.454E+00
 631.563   7.0   1.741E-02  -1.683E-02   6.647E-01   3.319E-02   5.231E-01   3.407E+00   1.000E+00   0.000E+00   6.647E-01   3.407E+00
 631.563  10.0   1.658E-02  -1.603E-02   6.952E-01   3.206E-02   5.200E-01   3.333E+00   1.000E+00   0.000E+00   6.952E-01   3.333E+00
 631.563  15.0   1.539E-02  -1.499E-02   7.757E-01   2.921E-02   5.166E-01   3.199E+00   1.000E+00   0.000E+00   7.757E-01   3.199E+00
 631.563  20.0   1.463E-02  -1.433E-02   8.191E-01   2.609E-02   5.141E-01   3.070E+00   1.000E+00   0.000E+00   8.191E-01   3.070E+00
 774.683   1.0   1.936E-02  -1.869E-02   5.705E-01   2.887E-02   5.524E-01   3.495E+00   1.000E+00   0.000E+00   5.705E-01   3.495E+00
 774.683   3.0   1.960E-02  -1.890E-02   5.494E-01   2.859E-02   5.555E-01   3.508E+00   1.000E+00   0.000E+00   5.494E-01   3.508E+00
 774.683   5.0   2.026E-02  -1.949E-02   5.028E-01   2.784E-02   5.585E-01   3.501E+00   1.000E+00   0.000E+00   5.028E-01   3.501E+00
 774.683   7.0   1.953E-02  -1.877E-02   5.226E-01   2.724E-02   5.593E-01   3.482E+00   1.000E+00   0.000E+00   5.226E-01   3.482E+00
 774.683  10.0   1.859E-02  -1.783E-02   5.411E-01   2.614E-02   5.601E-01   3.443E+00   1.000E+00   0.000E+00   5.411E-01   3.443E+00
 774.683  15.0   1.729E-02  -1.654E-02   5.477E-01   2.439E-02   5.638E-01   3.398E+00   1.000E+00   0.000E+00   5.477E-01   3.398E+00
 774.683  20.0   1.382E-02  -1.319E-02   7.226E-01   2.197E-02   5.660E-01   3.318E+00   1.000E+00   0.000E+00   7.226E-01   3.318E+00
 897.803   1.0   1.778E-02  -1.776E-02   6.222E-01   3.157E-02   5.822E-01   3.819E+00   1.000E+00   0.000E+00   6.222E-01   3.819E+00
 897.803   3.0   1.796E-02  -1.773E-02   5.939E-01   3.146E-02   5.855E-01   3.843E+00   1.000E+00   0.000E+00   5.939E-01   3.843E+00
 897.803   5.0   1.744E-02  -1.723E-02   6.123E-01   3.040E-02   5.913E-01   3.844E+00   1.000E+00   0.000E+00   6.123E-01   3.844E+00
 897.803   7.0   1.736E-02  -1.678E-02   5.703E-01   2.985E-02   5.954E-01   3.853E+00   1.000E+00   0.000E+00   5.703E-01   3.853E+00
 897.803  10.0   1.838E-02  -1.624E-02   4.262E-01   2.922E-02   5.978E-01   3.860E+00   1.000E+00   0.000E+00   4.262E-01   3.860E+00
 897.803  15.0   1.695E-02  -1.541E-02   4.650E-01   2.619E-02   6.072E-01   3.796E+00   1.000E+00   0.000E+00   4.650E-01   3.796E+00
 897.803  20.0   1.473E-02  -1.296E-02   4.957E-01   2.425E-02   6.138E-01   3.762E+00   1.000E+00   0.000E+00   4.957E-01   3.762E+00
1036.361   1.0   1.778E-02  -1.776E-02   6.222E-01   3.157E-02   5.822E-01   3.819E+00   1.000E+00   0.000E+00   6.222E-01   3.819E+00
1036.361   3.0   1.796E-02  -1.773E-02   5.939E-01   3.146E-02   5.855E-01   3.843E+00   1.000E+00   0.000E+00   5.939E-01   3.843E+00
1036.361   5.0   1.744E-02  -1.723E-02   6.123E-01   3.040E-02   5.913E-01   3.844E+00   1.000E+00   0.000E+00   6.123E-01   3.844E+00
1036.361   7.0   1.736E-02  -1.678E-02   5.703E-01   2.985E-02   5.954E-01   3.853E+00   1.000E+00   0.000E+00   5.703E-01   3.853E+00
1036.361  10.0   1.838E-02  -1.624E-02   4.262E-01   2.922E-02   5.978E-01   3.860E+00   1.000E+00   0.000E+00   4.262E-01   3.860E+00
1036.361  15.0   1.695E-02  -1.541E-02   4.650E-01   2.619E-02   6.072E-01   3.796E+00   1.000E+00   0.000E+00   4.650E-01   3.796E+00
1036.361  20.0   1.473E-02  -1.296E-02   4.957E-01   2.425E-02   6.138E-01   3.762E+00   1.000E+00   0.000E+00   4.957E-01   3.762E+00
