d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
 233.563  20.0   4.431E-02  -3.471E-02   3.014E-01   2.616E-02   2.682E-01   1.325E+00   1.000E+00   0.000E+00   3.014E-01   1.325E+00
 364.963   1.0   3.300E-02  -2.059E-02   4.951E-01   4.178E-02   3.311E-01   2.371E+00   1.000E+00   0.000E+00   4.951E-01   2.371E+00
 364.963   3.0   3.262E-02  -2.048E-02   4.982E-01   4.143E-02   3.329E-01   2.368E+00   1.000E+00   0.000E+00   4.982E-01   2.368E+00
 364.963   5.0   3.172E-02  -2.006E-02   4.988E-01   4.056E-02   3.371E-01   2.360E+00   1.000E+00   0.000E+00   4.988E-01   2.360E+00
 364.963   7.0   3.102E-02  -1.981E-02   5.011E-01   3.975E-02   3.408E-01   2.353E+00   1.000E+00   0.000E+00   5.011E-01   2.353E+00
 364.963  10.0   3.028E-02  -1.955E-02   4.953E-01   3.860E-02   3.454E-01   2.340E+00   1.000E+00   0.000E+00   4.953E-01   2.340E+00
 364.963  15.0   2.845E-02  -1.820E-02   5.177E-01   3.702E-02   3.515E-01   2.325E+00   1.000E+00   0.000E+00   5.177E-01   2.325E+00
 364.963  20.0   2.770E-02  -1.780E-02   5.237E-01   3.591E-02   3.544E-01   2.304E+00   1.000E+00   0.000E+00   5.237E-01   2.304E+00
 483.563   1.0   2.900E-02  -1.502E-02   6.795E-01   4.742E-02   3.569E-01   2.891E+00   1.000E+00   0.000E+00   6.795E-01   2.891E+00
 483.563   3.0   2.861E-02  -1.493E-02   7.001E-01   4.723E-02   3.584E-01   2.890E+00   1.000E+00   0.000E+00   7.001E-01   2.890E+00
 483.563   5.0   2.754E-02  -1.461E-02   7.747E-01   4.647E-02   3.627E-01   2.883E+00   1.000E+00   0.000E+00   7.747E-01   2.883E+00
 483.563   7.0   2.695E-02  -1.438E-02   7.745E-01   4.578E-02   3.666E-01   2.877E+00   1.000E+00   0.000E+00   7.745E-01   2.877E+00
 483.563  10.0   2.598E-02  -1.394E-02   8.371E-01   4.501E-02   3.706E-01   2.870E+00   1.000E+00   0.000E+00   8.371E-01   2.870E+00
 483.563  15.0   2.382E-02  -1.312E-02   1.218E+00   4.423E-02   3.752E-01   2.867E+00   1.000E+00   0.000E+00   1.218E+00   2.867E+00
 483.563  20.0   2.271E-02  -1.284E-02   1.561E+00   4.372E-02   3.766E-01   2.853E+00   1.000E+00   0.000E+00   1.561E+00   2.853E+00
 631.563   1.0   3.668E-02  -2.378E-02   3.583E-01   4.911E-02   3.899E-01   3.286E+00   1.000E+00   0.000E+00   3.583E-01   3.286E+00
 631.563   3.0   3.609E-02  -2.336E-02   3.657E-01   4.894E-02   3.914E-01   3.286E+00   1.000E+00   0.000E+00   3.657E-01   3.286E+00
 631.563   5.0   3.501E-02  -2.273E-02   3.750E-01   4.850E-02   3.952E-01   3.283E+00   1.000E+00   0.000E+00   3.750E-01   3.283E+00
 631.563   7.0   2.649E-02  -1.489E-02   6.549E-01   4.769E-02   4.011E-01   3.267E+00   1.000E+00   0.000E+00   6.549E-01   3.267E+00
 631.563  10.0   2.418E-02  -1.354E-02   8.464E-01   4.714E-02   4.058E-01   3.263E+00   1.000E+00   0.000E+00   8.464E-01   3.263E+00
 631.563  15.0   2.106E-02  -1.250E-02   1.415E+00   4.595E-02   4.133E-01   3.246E+00   1.000E+00   0.000E+00   1.415E+00   3.246E+00
 631.563  20.0   1.934E-02  -1.218E-02   2.144E+00   4.388E-02   4.187E-01   3.195E+00   1.000E+00   0.000E+00   2.144E+00   3.195E+00
 774.683   1.0   3.107E-02  -1.861E-02   4.027E-01   4.498E-02   3.854E-01   2.996E+00   1.000E+00   0.000E+00   4.027E-01   2.996E+00
 774.683   3.0   3.121E-02  -1.892E-02   3.953E-01   4.494E-02   3.863E-01   2.997E+00   1.000E+00   0.000E+00   3.953E-01   2.997E+00
 774.683   5.0   2.927E-02  -1.729E-02   4.318E-01   4.447E-02   3.893E-01   2.990E+00   1.000E+00   0.000E+00   4.318E-01   2.990E+00
 774.683   7.0   2.913E-02  -1.771E-02   4.376E-01   4.422E-02   3.911E-01   2.983E+00   1.000E+00   0.000E+00   4.376E-01   2.983E+00
 774.683  10.0   2.946E-02  -1.861E-02   4.149E-01   4.368E-02   3.939E-01   2.969E+00   1.000E+00   0.000E+00   4.149E-01   2.969E+00
 774.683  15.0   2.561E-02  -1.487E-02   4.636E-01   4.258E-02   3.988E-01   2.942E+00   1.000E+00   0.000E+00   4.636E-01   2.942E+00
 774.683  20.0   2.508E-02  -1.471E-02   4.600E-01   4.178E-02   4.003E-01   2.908E+00   1.000E+00   0.000E+00   4.600E-01   2.908E+00
 897.803   1.0   2.210E-02  -1.244E-02   6.757E-01   3.920E-02   3.870E-01   2.676E+00   1.000E+00   0.000E+00   6.757E-01   2.676E+00
 897.803   3.0   2.209E-02  -1.254E-02   6.735E-01   3.920E-02   3.873E-01   2.675E+00   1.000E+00   0.000E+00   6.735E-01   2.675E+00
 897.803   5.0   2.171E-02  -1.235E-02   6.678E-01   3.891E-02   3.890E-01   2.671E+00   1.000E+00   0.000E+00   6.678E-01   2.671E+00
 897.803   7.0   2.133E-02  -1.226E-02   6.743E-01   3.865E-02   3.903E-01   2.664E+00   1.000E+00   0.000E+00   6.743E-01   2.664E+00
 897.803  10.0   2.082E-02  -1.222E-02   6.987E-01   3.807E-02   3.908E-01   2.636E+00   1.000E+00   0.000E+00   6.987E-01   2.636E+00
 897.803  15.0   2.134E-02  -1.293E-02   5.725E-01   3.662E-02   3.937E-01   2.597E+00   1.000E+00   0.000E+00   5.725E-01   2.597E+00
 897.803  20.0   2.060E-02  -1.218E-02   5.264E-01   3.615E-02   3.936E-01   2.565E+00   1.000E+00   0.000E+00   5.264E-01   2.565E+00
1036.361   1.0   2.529E-02  -1.493E-02   3.172E-01   4.841E-02   3.406E-01   2.517E+00   1.000E+00   0.000E+00   3.172E-01   2.517E+00
1036.361   3.0   2.541E-02  -1.506E-02   3.122E-01   4.841E-02   3.407E-01   2.517E+00   1.000E+00   0.000E+00   3.122E-01   2.517E+00
1036.361   5.0   2.540E-02  -1.514E-02   3.095E-01   4.829E-02   3.414E-01   2.516E+00   1.000E+00   0.000E+00   3.095E-01   2.516E+00
1036.361   7.0   2.544E-02  -1.530E-02   3.017E-01   4.832E-02   3.413E-01   2.511E+00   1.000E+00   0.000E+00   3.017E-01   2.511E+00
1036.361  10.0   2.483E-02  -1.470E-02   3.016E-01   4.764E-02   3.416E-01   2.484E+00   1.000E+00   0.000E+00   3.016E-01   2.484E+00
1036.361  15.0   2.515E-02  -1.516E-02   2.793E-01   4.836E-02   3.378E-01   2.462E+00   1.000E+00   0.000E+00   2.793E-01   2.462E+00
1036.361  20.0   2.542E-02  -1.562E-02   2.415E-01   4.837E-02   3.328E-01   2.396E+00   1.000E+00   0.000E+00   2.415E-01   2.396E+00
